,city
1,London (I)
2,London (I)
3,London (I)
4,London (I)
5,London (I)
6,London (I)
7,London (I)
8,London (I)
9,London (I)
10,London (I)
11,London (I)
12,London (I)
13,London (I)
14,London (I)
15,London (I)
16,London (I)
17,London (I)
18,Manchester
19,Manchester
20,Manchester
21,Manchester
22,Manchester
23,Manchester
24,Manchester
25,Manchester
26,Manchester
27,Manchester
28,Manchester
29,Manchester
30,Manchester
31,Manchester
32,Manchester
33,Manchester
34,Manchester
35,Liverpool
36,Liverpool
37,Liverpool
38,Liverpool
39,Liverpool
40,Liverpool
41,Liverpool
42,Liverpool
43,Liverpool
44,Liverpool
45,Liverpool
46,Liverpool
47,Liverpool
48,Liverpool
49,Liverpool
50,Liverpool
51,Liverpool
52,Birmingham
53,Birmingham
54,Birmingham
55,Birmingham
56,Birmingham
57,Birmingham
58,Birmingham
59,Birmingham
60,Birmingham
61,Birmingham
62,Birmingham
63,Birmingham
64,Birmingham
65,Birmingham
66,Birmingham
67,Birmingham
68,Birmingham
69,Leicester
70,Leicester
71,Leicester
72,Leicester
73,Leicester
74,Leicester
75,Leicester
76,Leicester
77,Leicester
78,Leicester
79,Leicester
80,Leicester
81,Leicester
82,Leicester
83,Leicester
84,Leicester
85,Leicester
86,London (II)
87,London (II)
88,London (II)
89,London (II)
90,London (II)
91,London (II)
92,London (II)
93,London (II)
94,London (II)
95,London (II)
96,London (II)
97,London (II)
98,London (II)
99,London (II)
100,London (II)
101,London (II)
102,London (II)
103,Warsaw (I)
104,Warsaw (I)
105,Warsaw (I)
106,Warsaw (I)
107,Warsaw (I)
108,Warsaw (I)
109,Warsaw (I)
110,Warsaw (I)
111,Warsaw (I)
112,Warsaw (I)
113,Warsaw (I)
114,Warsaw (I)
115,Warsaw (I)
116,Warsaw (I)
117,Warsaw (I)
118,Warsaw (I)
119,Warsaw (I)
120,Warsaw (II)
121,Warsaw (II)
122,Warsaw (II)
123,Warsaw (II)
124,Warsaw (II)
125,Warsaw (II)
126,Warsaw (II)
127,Warsaw (II)
128,Warsaw (II)
129,Warsaw (II)
130,Warsaw (II)
131,Warsaw (II)
132,Warsaw (II)
133,Warsaw (II)
134,Warsaw (II)
135,Warsaw (II)
136,Warsaw (II)
137,Poznan
138,Poznan
139,Poznan
140,Poznan
141,Poznan
142,Poznan
143,Poznan
144,Poznan
145,Poznan
146,Poznan
147,Poznan
148,Poznan
149,Poznan
150,Poznan
151,Poznan
152,Poznan
153,Poznan
154,Krakow
155,Krakow
156,Krakow
157,Krakow
158,Krakow
159,Krakow
160,Krakow
161,Krakow
162,Krakow
163,Krakow
164,Krakow
165,Krakow
166,Krakow
167,Krakow
168,Krakow
169,Krakow
170,Krakow
171,Amsterdam
172,Amsterdam
173,Amsterdam
174,Amsterdam
175,Amsterdam
176,Amsterdam
177,Amsterdam
178,Amsterdam
179,Amsterdam
180,Amsterdam
181,Amsterdam
182,Amsterdam
183,Amsterdam
184,Amsterdam
185,Amsterdam
186,Amsterdam
187,Amsterdam
188,Den Haag
189,Den Haag
190,Den Haag
191,Den Haag
192,Den Haag
193,Den Haag
194,Den Haag
195,Den Haag
196,Den Haag
197,Den Haag
198,Den Haag
199,Den Haag
200,Den Haag
201,Den Haag
202,Den Haag
203,Den Haag
204,Den Haag
205,Rotterdam
206,Rotterdam
207,Rotterdam
208,Rotterdam
209,Rotterdam
210,Rotterdam
211,Rotterdam
212,Rotterdam
213,Rotterdam
214,Rotterdam
215,Rotterdam
216,Rotterdam
217,Rotterdam
218,Rotterdam
219,Rotterdam
220,Rotterdam
221,Rotterdam
222,Groningen
223,Groningen
224,Groningen
225,Groningen
226,Groningen
227,Groningen
228,Groningen
229,Groningen
230,Groningen
231,Groningen
232,Groningen
233,Groningen
