,hoursown,hourslease,totalhours
0,3184.76,0,3184.76
1,1582.94,0,1582.94
2,47.2,0,47.2
3,1623.85,0,1623.85
4,1759.17,0,1759.17
5,8270.32,0,8270.32
6,16468.25,0,16468.25
7,4698.47,0,4698.47
8,1183.27,0,1183.27
9,2029.82,0,2029.82
10,7911.56,0,7911.56
11,4308.24,0,4308.24
12,5825.1,0,5825.1
13,3320.08,0,3320.08
14,2253.25,0,2253.25
15,40086.49,0,40086.49
16,2583.69,0,2583.69
17,5145.34,0,5145.34
18,47.2,0,47.2
19,3008.53,0,3008.53
20,8909.16,0,8909.16
21,15779.06,0,15779.06
22,35472.98,0,35472.98
23,7889.53,0,7889.53
24,1762.32,0,1762.32
25,2797.68,0,2797.68
26,12449.53,0,12449.53
27,6967.46,0,6967.46
28,11719.43,0,11719.43
29,5491.52,0,5491.52
30,2300.46,0,2300.46
31,74401.37,0,74401.37
32,2341.37,0,2341.37
33,3077.77,184,3261.77
34,47.2,0,47.2
35,2196.61,210,2406.61
36,3383.02,0,3383.02
37,16493.43,758,17251.43
38,27539.4,1152,28691.4
39,8528.37,0,8528.37
40,1957.43,0,1957.43
41,2580.54,0,2580.54
42,13066.34,0,13066.34
43,4947.08,0,4947.08
44,8965.8,660,9625.8
45,3584.43,0,3584.43
46,2624.6,84,2708.6
47,60727.66,1896,62623.66
48,1976.32,0,1976.32
49,903.19,0,903.19
50,47.2,0,47.2
51,1542.03,0,1542.03
52,2111.64,0,2111.64
53,5850.27,0,5850.27
54,12430.65,0,12430.65
55,3162.74,0,3162.74
56,1579.79,0,1579.79
57,1954.29,0,1954.29
58,6696.82,0,6696.82
59,3581.29,0,3581.29
60,3738.64,0,3738.64
61,2435.78,0,2435.78
62,6621.29,0,6621.29
63,31.47,0,31.47
64,35535.92,0,35535.92
65,2489.28,324,2813.28
66,2939.3,0,2939.3
67,47.2,0,47.2
68,1589.24,0,1589.24
69,2092.76,0,2092.76
70,10643.15,0,10643.15
71,19800.92,324,20124.92
72,5104.43,0,5104.43
73,1450.77,0,1450.77
74,874.87,0,874.87
75,7430.07,0,7430.07
76,3801.58,0,3801.58
77,9655.0,186,9841.0
78,2586.83,0,2586.83
79,3634.78,0,3634.78
80,2152.55,0,2152.55
81,49061.73,510,49571.73
82,3773.25,0,3773.25
83,1633.29,0,1633.29
84,47.2,0,47.2
85,1988.9,0,1988.9
86,2105.34,0,2105.34
87,7168.87,0,7168.87
88,16716.86,0,16716.86
89,4097.39,0,4097.39
90,1749.73,0,1749.73
91,1970.02,0,1970.02
92,7817.15,0,7817.15
93,5110.73,0,5110.73
94,6209.03,0,6209.03
95,3115.53,0,3115.53
96,7209.78,246,7455.78
97,2017.23,0,2017.23
98,48196.3,246,48442.3
99,1963.73,0,1963.73
100,978.72,0,978.72
101,47.2,0,47.2
102,1696.23,0,1696.23
103,1916.52,0,1916.52
104,4132.01,0,4132.01
105,10734.42,0,10734.42
106,5132.76,0,5132.76
107,1438.18,0,1438.18
108,531.84,0,531.84
109,7102.78,0,7102.78
110,3634.78,0,3634.78
111,3490.02,0,3490.02
112,2124.22,0,2124.22
113,6294.0,0,6294.0
114,1708.82,0,1708.82
115,35089.05,0,35089.05
116,1866.17,0,1866.17
117,1560.91,0,1560.91
118,47.2,0,47.2
119,1642.73,0,1642.73
120,1249.36,0,1249.36
121,5677.19,0,5677.19
122,12043.57,0,12043.57
123,2816.56,0,2816.56
124,956.69,0,956.69
125,1365.8,0,1365.8
126,5139.05,0,5139.05
127,1545.18,0,1545.18
128,5563.9,200,5763.9
129,2567.95,214,2781.95
130,1435.03,124,1559.03
131,31.47,0,31.47
132,28326.15,538,28864.15
133,2482.98,0,2482.98
134,2206.05,0,2206.05
135,47.2,0,47.2
136,1211.6,0,1211.6
137,2423.19,0,2423.19
138,7697.56,0,7697.56
139,16068.58,0,16068.58
140,3288.62,0,3288.62
141,1441.33,0,1441.33
142,1447.62,0,1447.62
143,6177.56,0,6177.56
144,3609.61,0,3609.61
145,6611.85,0,6611.85
146,1982.61,0,1982.61
147,1526.3,0,1526.3
148,36514.64,0,36514.64
149,2398.01,0,2398.01
150,1727.7,0,1727.7
151,47.2,0,47.2
152,1475.94,0,1475.94
153,3515.2,0,3515.2
154,7782.53,130,7912.53
155,16946.6,130,17076.6
156,4465.59,0,4465.59
157,1674.2,0,1674.2
158,1195.86,0,1195.86
159,7335.66,0,7335.66
160,5006.88,0,5006.88
161,6508.0,0,6508.0
162,2876.36,0,2876.36
163,2895.24,0,2895.24
164,1796.94,0,1796.94
165,43365.66,130,43495.66
166,2964.47,0,2964.47
167,1762.32,0,1762.32
168,47.2,0,47.2
169,1406.71,0,1406.71
170,1954.29,0,1954.29
171,8500.05,0,8500.05
172,16635.04,0,16635.04
173,3244.56,0,3244.56
174,1306.01,0,1306.01
175,2061.28,0,2061.28
176,6611.85,0,6611.85
177,5013.17,0,5013.17
178,6564.64,0,6564.64
179,2589.98,0,2589.98
180,31.47,0,31.47
181,37446.15,0,37446.15
182,2914.12,0,2914.12
183,2407.46,0,2407.46
184,47.2,0,47.2
185,1022.78,0,1022.78
186,1759.17,0,1759.17
187,8298.64,0,8298.64
188,16449.37,0,16449.37
189,5601.66,0,5601.66
190,2127.37,0,2127.37
191,2158.84,0,2158.84
192,9887.87,0,9887.87
193,5589.07,0,5589.07
194,6781.78,0,6781.78
195,5472.63,0,5472.63
196,5186.26,0,5186.26
197,1803.23,0,1803.23
198,51170.22,0,51170.22
199,2785.1,0,2785.1
200,1611.26,0,1611.26
201,47.2,0,47.2
202,1422.44,0,1422.44
203,2262.69,0,2262.69
204,10740.71,0,10740.71
205,18869.41,0,18869.41
206,3943.19,0,3943.19
207,1346.92,0,1346.92
208,1623.85,0,1623.85
209,6913.96,0,6913.96
210,3562.4,0,3562.4
211,6407.29,0,6407.29
212,2102.2,0,2102.2
213,2826.01,0,2826.01
214,31.47,0,31.47
215,40712.74,0,40712.74
216,3153.29,0,3153.29
217,1381.53,0,1381.53
218,47.2,0,47.2
219,830.81,0,830.81
220,1951.14,0,1951.14
221,5705.51,0,5705.51
222,13069.49,0,13069.49
223,5730.69,0,5730.69
224,2363.4,0,2363.4
225,2206.05,0,2206.05
226,10300.13,0,10300.13
227,3332.67,0,3332.67
228,6898.22,0,6898.22
229,2017.23,0,2017.23
230,31.47,0,31.47
231,35649.22,0,35649.22
232,2275.28,0,2275.28
233,1885.05,0,1885.05
234,47.2,0,47.2
235,1088.86,0,1088.86
236,2684.39,0,2684.39
237,5224.02,0,5224.02
238,13204.81,0,13204.81
239,4185.51,0,4185.51
240,950.39,0,950.39
241,1966.88,0,1966.88
242,7102.78,0,7102.78
243,4453.0,0,4453.0
244,6659.05,0,6659.05
245,2555.36,0,2555.36
246,2391.72,0,2391.72
247,214.0,0,214.0
248,36580.73,0,36580.73
249,2231.22,0,2231.22
250,1186.42,0,1186.42
251,47.2,0,47.2
252,975.57,0,975.57
253,2322.49,0,2322.49
254,4673.3,0,4673.3
255,11436.2,0,11436.2
256,4396.36,0,4396.36
257,1211.6,0,1211.6
258,1806.38,0,1806.38
259,7414.33,0,7414.33
260,4276.77,0,4276.77
261,5932.1,0,5932.1
262,2678.1,0,2678.1
263,31.47,228,259.47
264,31768.96,228,31996.96
265,1847.29,0,1847.29
266,1957.43,0,1957.43
267,47.2,0,47.2
268,994.45,0,994.45
269,2401.16,0,2401.16
270,7414.33,0,7414.33
271,14661.87,0,14661.87
272,7234.95,0,7234.95
273,62.94,0,62.94
274,78.68,0,78.68
275,7376.57,0,7376.57
276,3109.24,0,3109.24
277,5434.87,0,5434.87
278,2246.96,0,2246.96
279,4198.1,0,4198.1
280,31.47,0,31.47
281,37059.07,0,37059.07
282,3461.7,0,3461.7
283,2737.89,0,2737.89
284,47.2,0,47.2
285,1350.06,0,1350.06
286,2599.42,0,2599.42
287,7713.3,0,7713.3
288,17909.58,0,17909.58
289,5057.23,132,5189.23
290,830.81,0,830.81
291,1592.38,274,1866.38
292,7480.42,406,7886.42
293,3776.4,0,3776.4
294,6127.21,0,6127.21
295,2517.6,0,2517.6
296,4301.95,0,4301.95
297,2615.16,0,2615.16
298,44728.31,406,45134.31
299,2007.79,0,2007.79
300,1881.91,0,1881.91
301,47.2,0,47.2
302,1441.33,0,1441.33
303,1730.85,0,1730.85
304,5365.64,0,5365.64
305,12474.71,0,12474.71
306,3169.03,0,3169.03
307,1727.7,0,1727.7
308,1085.71,0,1085.71
309,5982.45,0,5982.45
310,3187.91,0,3187.91
311,6010.77,0,6010.77
312,1756.03,0,1756.03
313,3291.76,0,3291.76
314,31.47,0,31.47
315,32735.09,0,32735.09
316,3005.38,0,3005.38
317,1897.64,0,1897.64
318,47.2,0,47.2
319,1142.36,0,1142.36
320,1825.26,0,1825.26
321,7530.77,0,7530.77
322,15448.62,0,15448.62
323,4408.95,0,4408.95
324,1888.2,0,1888.2
325,1891.35,0,1891.35
326,8188.49,0,8188.49
327,3877.1,0,3877.1
328,6026.5,0,6026.5
329,1494.82,0,1494.82
330,5359.34,0,5359.34
331,31.47,902,933.47
332,40426.36,902,41328.36
333,2649.77,0,2649.77
334,2102.2,0,2102.2
335,47.2,0,47.2
336,2136.81,172,2308.81
337,2687.54,0,2687.54
338,7659.8,0,7659.8
339,17283.32,172,17455.32
340,3430.23,0,3430.23
341,1841.0,0,1841.0
342,988.16,0,988.16
343,6259.38,0,6259.38
344,4531.68,0,4531.68
345,5718.1,0,5718.1
346,2615.16,0,2615.16
347,9019.3,0,9019.3
348,31.47,0,31.47
349,45458.42,172,45630.42
350,3527.79,0,3527.79
351,2640.33,0,2640.33
352,47.2,0,47.2
353,2064.43,0,2064.43
354,2542.78,0,2542.78
355,8487.46,0,8487.46
356,19309.99,0,19309.99
357,4226.42,0,4226.42
358,1696.23,0,1696.23
359,1280.83,0,1280.83
360,7203.48,0,7203.48
361,4050.19,0,4050.19
362,8131.85,0,8131.85
363,2797.68,0,2797.68
364,2070.73,368,2438.73
365,43563.92,368,43931.92
366,3109.24,0,3109.24
367,2514.45,0,2514.45
368,47.2,0,47.2
369,1350.06,0,1350.06
370,1658.47,0,1658.47
371,8736.07,0,8736.07
372,17415.5,0,17415.5
373,4641.82,0,4641.82
374,1154.95,0,1154.95
375,2464.1,0,2464.1
376,8260.88,0,8260.88
377,3194.2,0,3194.2
378,6089.44,0,6089.44
379,2187.16,0,2187.16
380,1796.94,0,1796.94
381,38944.12,0,38944.12
382,3134.41,0,3134.41
383,2268.99,0,2268.99
384,47.2,0,47.2
385,2259.55,0,2259.55
386,1985.76,0,1985.76
387,7577.98,0,7577.98
388,17273.88,0,17273.88
389,6989.49,0,6989.49
390,62.94,0,62.94
391,1947.99,0,1947.99
392,9000.42,0,9000.42
393,3993.54,0,3993.54
394,6857.31,0,6857.31
395,3719.75,0,3719.75
396,3581.29,0,3581.29
397,1900.79,0,1900.79
398,46326.99,0,46326.99
399,3656.81,0,3656.81
400,1913.38,0,1913.38
401,47.2,0,47.2
402,2099.05,0,2099.05
403,2045.55,0,2045.55
404,8629.07,0,8629.07
405,18391.07,0,18391.07
406,5098.14,0,5098.14
407,1822.11,0,1822.11
408,1397.27,0,1397.27
409,8317.52,0,8317.52
410,3354.7,0,3354.7
411,6803.81,0,6803.81
412,3052.59,0,3052.59
413,1000.75,0,1000.75
414,31.47,0,31.47
415,40951.91,0,40951.91
416,4676.44,0,4676.44
417,2665.51,0,2665.51
418,47.2,0,47.2
419,4191.8,0,4191.8
420,5022.61,0,5022.61
421,14108.0,0,14108.0
422,30711.57,0,30711.57
423,5025.76,0,5025.76
424,2080.17,0,2080.17
425,3291.76,0,3291.76
426,10397.69,0,10397.69
427,5233.46,0,5233.46
428,9925.64,0,9925.64
429,3842.49,0,3842.49
430,5003.73,0,5003.73
431,3870.81,0,3870.81
432,68985.39,0,68985.39
433,4641.82,0,4641.82
434,3191.06,0,3191.06
435,47.2,0,47.2
436,2139.96,0,2139.96
437,5535.57,0,5535.57
438,12326.8,0,12326.8
439,27882.42,0,27882.42
440,7168.87,0,7168.87
441,2866.92,0,2866.92
442,3209.94,0,3209.94
443,13245.72,0,13245.72
444,6614.99,0,6614.99
445,9862.7,0,9862.7
446,4921.91,0,4921.91
447,2882.65,472,3354.65
448,65410.4,472,65882.4
449,4160.33,0,4160.33
450,2574.25,0,2574.25
451,47.2,0,47.2
452,2196.61,0,2196.61
453,3093.5,0,3093.5
454,6942.28,0,6942.28
455,19014.17,0,19014.17
456,5551.31,0,5551.31
457,2649.77,0,2649.77
458,1441.33,130,1571.33
459,9642.41,130,9772.41
460,3895.99,0,3895.99
461,6061.12,0,6061.12
462,3052.59,0,3052.59
463,3530.93,0,3530.93
464,2218.64,0,2218.64
465,47415.85,130,47545.85
466,4336.57,162,4498.57
467,2917.27,0,2917.27
468,47.2,0,47.2
469,3096.65,0,3096.65
470,4481.33,0,4481.33
471,12370.86,0,12370.86
472,27249.87,162,27411.87
473,6898.22,0,6898.22
474,1973.17,0,1973.17
475,4163.48,0,4163.48
476,13034.87,0,13034.87
477,6542.61,0,6542.61
478,10218.31,0,10218.31
479,4006.13,0,4006.13
480,5368.78,0,5368.78
481,2583.69,360,2943.69
482,69004.27,522,69526.27
483,3669.4,0,3669.4
484,3571.84,0,3571.84
485,47.2,0,47.2
486,2451.51,0,2451.51
487,1944.85,0,1944.85
488,11980.63,122,12102.63
489,23665.44,122,23787.44
490,6243.65,0,6243.65
491,2184.02,0,2184.02
492,2687.54,0,2687.54
493,11115.2,0,11115.2
494,4421.54,0,4421.54
495,9013.01,280,9293.01
496,3807.87,46,3853.87
497,7087.04,316,7403.04
498,3452.26,0,3452.26
499,62562.36,764,63326.36
500,4726.79,0,4726.79
501,2813.42,0,2813.42
502,47.2,0,47.2
503,2678.1,0,2678.1
504,2995.94,0,2995.94
505,12314.21,0,12314.21
506,25575.67,0,25575.67
507,7634.62,0,7634.62
508,3191.06,0,3191.06
509,2832.3,0,2832.3
510,13657.98,0,13657.98
511,6599.26,0,6599.26
512,9192.39,0,9192.39
513,4465.59,0,4465.59
514,6309.74,0,6309.74
515,4648.12,0,4648.12
516,70448.74,0,70448.74
517,3593.87,0,3593.87
518,3298.06,0,3298.06
519,47.2,0,47.2
520,2473.54,0,2473.54
521,3858.22,0,3858.22
522,8374.17,0,8374.17
523,21645.07,0,21645.07
524,4295.66,0,4295.66
525,2737.89,0,2737.89
526,2155.7,0,2155.7
527,9189.24,0,9189.24
528,5201.99,0,5201.99
529,10237.19,0,10237.19
530,6646.46,0,6646.46
531,2193.46,0,2193.46
532,55113.41,0,55113.41
533,3137.56,0,3137.56
534,2863.77,0,2863.77
535,47.2,0,47.2
536,2759.92,0,2759.92
537,4358.6,0,4358.6
538,17856.08,0,17856.08
539,31023.13,0,31023.13
540,5711.8,0,5711.8
541,4028.16,0,4028.16
542,2114.78,0,2114.78
543,11854.75,0,11854.75
544,5906.92,0,5906.92
545,6303.44,0,6303.44
546,2995.94,0,2995.94
547,2243.81,0,2243.81
548,60327.99,0,60327.99
549,4138.3,0,4138.3
550,2706.42,0,2706.42
551,47.2,0,47.2
552,2901.53,0,2901.53
553,5554.46,0,5554.46
554,11404.73,0,11404.73
555,26752.65,0,26752.65
556,8868.25,0,8868.25
557,2174.58,0,2174.58
558,2268.99,0,2268.99
559,13311.81,0,13311.81
560,3974.66,0,3974.66
561,8666.84,0,8666.84
562,3902.28,0,3902.28
563,1916.52,0,1916.52
564,58524.76,0,58524.76
565,3691.43,0,3691.43
566,1863.02,0,1863.02
567,47.2,0,47.2
568,3017.97,0,3017.97
569,3625.34,0,3625.34
570,14259.06,0,14259.06
571,26504.03,0,26504.03
572,8386.75,0,8386.75
573,3877.1,0,3877.1
574,3121.82,0,3121.82
575,15385.68,0,15385.68
576,5784.19,0,5784.19
577,8292.34,0,8292.34
578,4591.47,0,4591.47
579,5598.51,0,5598.51
580,3036.86,0,3036.86
581,69193.09,0,69193.09
582,4714.21,0,4714.21
583,3040.0,0,3040.0
584,47.2,0,47.2
585,3036.86,0,3036.86
586,4792.88,0,4792.88
587,17925.31,0,17925.31
588,33556.46,0,33556.46
589,6297.15,0,6297.15
590,2017.23,0,2017.23
591,3496.32,0,3496.32
592,11810.69,0,11810.69
593,5617.4,0,5617.4
594,11458.23,0,11458.23
595,3946.34,0,3946.34
596,2262.69,0,2262.69
597,68651.8,0,68651.8
598,3134.41,0,3134.41
599,2599.42,0,2599.42
600,47.2,0,47.2
601,2398.01,0,2398.01
602,5088.7,0,5088.7
603,10847.71,410,11257.71
604,24115.46,410,24525.46
605,5179.96,0,5179.96
606,2712.71,0,2712.71
607,3109.24,0,3109.24
608,11001.91,0,11001.91
609,4909.32,0,4909.32
610,9173.5,0,9173.5
611,4043.9,0,4043.9
612,3659.96,0,3659.96
613,2533.34,0,2533.34
614,59437.39,410,59847.39
615,2785.1,0,2785.1
616,1693.09,0,1693.09
617,47.2,0,47.2
618,2731.6,0,2731.6
619,3436.52,0,3436.52
620,9557.44,258,9815.44
621,20250.94,258,20508.94
622,8053.17,0,8053.17
623,1457.06,0,1457.06
624,3508.9,0,3508.9
625,13019.14,0,13019.14
626,6275.12,0,6275.12
627,9223.86,0,9223.86
628,2772.51,68,2840.51
629,3971.51,0,3971.51
630,2240.66,242,2482.66
631,57753.74,568,58321.74
632,3074.62,0,3074.62
633,2634.04,0,2634.04
634,47.2,0,47.2
635,2420.04,0,2420.04
636,4213.83,0,4213.83
637,7505.6,0,7505.6
638,19895.33,0,19895.33
639,5088.7,0,5088.7
640,1312.3,0,1312.3
641,2851.18,0,2851.18
642,9252.18,0,9252.18
643,4330.27,0,4330.27
644,6234.21,0,6234.21
645,2281.57,0,2281.57
646,4251.6,0,4251.6
647,31.47,0,31.47
648,46276.64,0,46276.64
649,3250.85,0,3250.85
650,2325.63,0,2325.63
651,47.2,0,47.2
652,1680.5,0,1680.5
653,1872.46,0,1872.46
654,9705.35,0,9705.35
655,18882.0,0,18882.0
656,5862.86,0,5862.86
657,1526.3,0,1526.3
658,2117.93,0,2117.93
659,9507.09,0,9507.09
660,3502.61,0,3502.61
661,7719.59,0,7719.59
662,3367.29,0,3367.29
663,2486.13,0,2486.13
664,1554.62,0,1554.62
665,47019.33,0,47019.33
666,3477.44,0,3477.44
667,1765.47,0,1765.47
668,47.2,0,47.2
669,1362.65,0,1362.65
670,3386.17,0,3386.17
671,11011.35,0,11011.35
672,21050.28,0,21050.28
673,5620.54,0,5620.54
674,3285.47,0,3285.47
675,2967.62,0,2967.62
676,11873.63,0,11873.63
677,5724.39,0,5724.39
678,9214.42,0,9214.42
679,3131.26,0,3131.26
680,5973.01,0,5973.01
681,1611.26,0,1611.26
682,58578.26,0,58578.26
683,3955.78,0,3955.78
684,3043.15,0,3043.15
685,47.2,0,47.2
686,1734.0,0,1734.0
687,3738.64,0,3738.64
688,8861.95,0,8861.95
689,21380.72,0,21380.72
690,5866.01,0,5866.01
691,1730.85,0,1730.85
692,2338.22,0,2338.22
693,9935.08,0,9935.08
694,5749.57,0,5749.57
695,7861.21,0,7861.21
696,3005.38,0,3005.38
697,5557.6,0,5557.6
698,2306.75,0,2306.75
699,55796.31,0,55796.31
700,3628.49,0,3628.49
701,3213.09,0,3213.09
702,47.2,0,47.2
703,2791.39,0,2791.39
704,6407.29,0,6407.29
705,12830.32,0,12830.32
706,28917.78,0,28917.78
707,10227.75,0,10227.75
708,2904.68,0,2904.68
709,3354.7,0,3354.7
710,16487.13,0,16487.13
711,6445.06,0,6445.06
712,9271.06,0,9271.06
713,4808.62,0,4808.62
714,4169.77,0,4169.77
715,1916.52,198,2114.52
716,72015.95,198,72213.95
717,2948.74,208,3156.74
718,2816.56,0,2816.56
719,47.2,0,47.2
720,1368.94,162,1530.94
721,2652.92,0,2652.92
722,6992.63,810,7802.63
723,16827.01,1180,18007.01
724,3823.6,320,4143.6
725,1699.38,0,1699.38
726,1453.91,300,1753.91
727,6976.9,620,7596.9
728,4150.89,0,4150.89
729,4934.5,0,4934.5
730,2646.63,0,2646.63
731,1686.79,264,1950.79
732,37222.72,2064,39286.72
733,2951.89,0,2951.89
734,2328.78,0,2328.78
735,47.2,0,47.2
736,2092.76,0,2092.76
737,1812.67,0,1812.67
738,7360.83,0,7360.83
739,16594.13,0,16594.13
740,5910.07,0,5910.07
741,1844.14,0,1844.14
742,1230.48,0,1230.48
743,8984.68,0,8984.68
744,5856.57,0,5856.57
745,6479.67,0,6479.67
746,2980.21,0,2980.21
747,31.47,0,31.47
748,41250.88,0,41250.88
749,4147.75,0,4147.75
750,2879.5,0,2879.5
751,47.2,0,47.2
752,2111.64,0,2111.64
753,4047.04,0,4047.04
754,13031.73,0,13031.73
755,26264.86,0,26264.86
756,8352.14,0,8352.14
757,2102.2,0,2102.2
758,4037.6,0,4037.6
759,14491.94,0,14491.94
760,5334.16,0,5334.16
761,10520.42,0,10520.42
762,2291.02,0,2291.02
763,31.47,0,31.47
764,58933.87,0,58933.87
765,4087.95,0,4087.95
766,2426.34,0,2426.34
767,47.2,0,47.2
768,2328.78,0,2328.78
769,6580.38,0,6580.38
770,14894.75,0,14894.75
771,30365.4,0,30365.4
772,6611.85,0,6611.85
773,2413.75,0,2413.75
774,2357.1,0,2357.1
775,11382.7,0,11382.7
776,6124.06,0,6124.06
777,11152.97,0,11152.97
778,5950.98,0,5950.98
779,2357.1,0,2357.1
780,67333.21,0,67333.21
781,5063.52,0,5063.52
782,4849.53,0,4849.53
783,47.2,0,47.2
784,2888.95,0,2888.95
785,4748.82,0,4748.82
786,20468.09,0,20468.09
787,38066.11,0,38066.11
788,10010.61,0,10010.61
789,2448.37,0,2448.37
790,2983.36,0,2983.36
791,15442.33,0,15442.33
792,8050.03,258,8308.029999999999
793,14702.78,0,14702.78
794,4676.44,0,4676.44
795,4204.39,118,4322.39
796,85142.08,376,85518.08
797,4638.68,0,4638.68
798,2353.96,0,2353.96
799,47.2,0,47.2
800,1708.82,0,1708.82
801,3766.96,0,3766.96
802,8481.17,0,8481.17
803,20996.78,0,20996.78
804,4877.85,0,4877.85
805,2640.33,0,2640.33
806,1680.5,0,1680.5
807,9198.68,0,9198.68
808,4125.72,0,4125.72
809,8112.97,0,8112.97
810,3471.14,0,3471.14
811,2268.99,0,2268.99
812,48174.28,0,48174.28
813,2907.83,0,2907.83
814,2221.78,0,2221.78
815,47.2,0,47.2
816,2294.16,0,2294.16
817,3379.88,0,3379.88
818,8153.88,0,8153.88
819,19004.73,0,19004.73
820,5205.14,0,5205.14
821,2303.6,0,2303.6
822,2268.99,0,2268.99
823,9777.73,0,9777.73
824,4774.0,0,4774.0
